,gender,age,openness,neuroticism,conscientiousness,agreeableness,extraversion,personality
0,0,17,7,4,7,3,2,extraverted
1,0,19,4,5,4,6,6,serious
2,1,18,7,6,4,5,5,dependable
3,1,22,5,6,7,4,3,extraverted
4,1,19,7,4,6,5,4,lively
5,0,18,5,7,7,6,4,lively
6,1,17,5,6,5,7,4,extraverted
7,1,19,6,6,7,5,4,extraverted
8,0,18,5,7,5,6,7,dependable
9,1,19,5,5,7,4,5,lively
10,0,19,6,7,5,6,3,serious
11,0,19,7,6,7,7,6,extraverted
12,0,19,7,6,6,5,6,lively
13,1,19,6,7,5,5,5,dependable
14,1,19,5,5,4,5,4,responsible
15,0,19,5,6,4,6,3,extraverted
16,1,19,7,7,2,6,5,serious
17,1,18,6,7,4,4,2,dependable
18,1,19,6,6,6,4,3,responsible
19,1,19,5,6,3,3,3,extraverted
20,1,19,6,4,6,3,4,responsible
21,0,18,4,5,4,3,6,extraverted
22,1,19,5,4,5,5,3,responsible
23,0,20,5,3,3,4,4,serious
24,1,19,6,7,5,5,4,serious
25,1,19,7,5,6,6,5,dependable
26,1,18,6,4,5,5,4,extraverted
27,1,19,4,6,4,7,6,extraverted
28,1,27,6,5,6,4,5,lively
29,1,17,7,4,7,6,5,lively
30,1,21,6,6,3,5,4,extraverted
31,0,18,6,5,5,6,1,extraverted
32,1,18,6,6,5,6,3,dependable
33,0,18,6,3,5,5,4,lively
34,0,18,5,7,3,6,4,serious
35,1,19,7,6,6,6,5,lively
36,1,18,7,6,6,7,5,responsible
37,1,18,7,7,5,7,3,responsible
38,1,17,7,5,7,7,2,dependable
39,1,20,6,5,4,5,5,serious
40,0,19,3,5,3,4,2,dependable
41,1,17,6,7,6,6,6,extraverted
42,1,18,7,5,6,6,4,serious
43,1,20,5,7,5,6,3,extraverted
44,0,28,6,5,7,6,4,dependable
45,0,17,5,6,5,5,3,dependable
46,1,18,5,5,4,4,3,responsible
47,1,20,7,6,6,4,4,serious
48,1,18,6,4,3,6,2,lively
49,1,19,6,4,5,6,4,lively
50,1,19,3,4,5,5,1,extraverted
51,1,18,4,5,4,6,1,extraverted
52,0,17,5,4,3,6,6,serious
53,1,23,6,7,4,4,5,extraverted
54,1,19,7,5,7,4,6,lively
55,0,18,7,5,5,4,3,lively
56,1,17,5,5,4,6,4,extraverted
57,1,18,6,6,5,4,4,dependable
58,1,19,5,6,5,4,7,lively
59,0,19,5,4,6,1,3,lively
60,0,19,3,7,2,6,7,responsible
61,1,18,7,6,5,5,5,extraverted
62,1,19,6,5,4,5,2,responsible
63,0,19,6,6,2,5,6,dependable
64,1,18,7,5,5,4,5,serious
65,0,19,6,6,5,5,4,serious
66,1,17,6,5,5,4,4,responsible
67,1,19,5,6,5,6,4,dependable
68,0,19,6,5,5,6,6,responsible
69,1,19,5,5,5,7,3,dependable
70,0,18,6,6,4,4,3,extraverted
71,0,18,7,6,6,5,7,extraverted
72,1,17,5,5,5,5,3,responsible
73,1,19,5,5,4,4,4,dependable
74,1,18,5,4,5,6,4,responsible
75,1,18,7,4,6,6,4,serious
76,1,17,4,6,4,4,1,extraverted
77,1,17,7,4,5,5,5,dependable
78,1,19,6,4,5,5,6,lively
79,1,18,5,1,3,5,2,lively
80,0,18,3,6,3,3,2,extraverted
81,1,18,7,5,7,5,2,lively
82,0,21,6,5,5,5,3,serious
83,1,21,6,5,6,5,2,responsible
84,1,18,6,4,4,6,4,extraverted
85,0,18,7,5,7,6,1,serious
86,1,19,5,4,7,4,4,dependable
87,1,18,4,6,2,1,4,serious
88,0,20,5,6,6,5,3,dependable
89,0,18,6,7,6,5,4,responsible
90,1,18,6,4,5,4,6,dependable
91,0,18,6,5,3,5,3,extraverted
92,1,18,7,5,2,4,3,extraverted
93,0,21,4,4,4,4,4,serious
94,0,21,6,6,5,6,4,lively
95,0,18,3,6,6,1,3,responsible
96,1,18,4,4,5,7,3,dependable
97,1,19,5,5,4,6,3,lively
98,0,19,2,5,3,6,4,serious
